(0.796835,0.0127138)
(0.53535,-0.912976)
(0.14824,-0.0307231)
(1.00659,-0.462668)
(0.0702395,-0.672855)
(0.658038,0.0851107)
(0.684363,-0.871613)
(0.0530135,-0.148249)
(0.99693,-0.299525)
(0.174463,-0.777307)
(0.506897,0.115761)
(0.818989,-0.782355)
(0.00817779,-0.288434)
(0.943485,-0.152858)
(0.30823,-0.845032)
(0.363983,0.0937302)
(0.918032,-0.670012)
(0.00127835,-0.434755)
(0.852936,-0.032716)
(0.446581,-0.880153)
(0.219312,0.0380998)
(0.979948,-0.520406)
(0.0408057,-0.571706)
(0.732034,0.0648498)
(0.602772,-0.863595)
(0.112642,-0.0651498)
(0.995406,-0.370613)
(0.114696,-0.694142)
(0.584853,0.122342)
(0.745034,-0.800558)
(0.0367814,-0.193535)
(0.961852,-0.211127)
(0.234852,-0.777074)
(0.439737,0.125264)
(0.855723,-0.70119)
(0.00770212,-0.326847)
(0.898115,-0.0733868)
(0.373233,-0.831734)
(0.296006,0.0867711)
(0.935957,-0.570749)
(0.0233026,-0.465635)
(0.794847,0.0363667)
(0.519013,-0.839246)
(0.174871,0.0131014)
(0.981006,-0.423406)
(0.0810122,-0.596068)
(0.665875,0.113134)
(0.669199,-0.803349)
(0.0857465,-0.101704)
(0.977384,-0.273244)
(0.177787,-0.70443)
(0.519302,0.138734)
(0.790691,-0.725612)
(0.0326119,-0.229562)
(0.931058,-0.130072)
(0.298595,-0.775103)
(0.375795,0.12834)
(0.891699,-0.615154)
(0.0208223,-0.370164)
(0.843899,-0.00374002)
(0.44072,-0.803453)
(0.245342,0.0730453)
(0.954298,-0.476318)
(0.0611884,-0.502147)
(0.733936,0.0831685)
(0.584559,-0.79631)
(0.138009,-0.0230547)
(0.968606,-0.333336)
(0.12854,-0.615368)
(0.598901,0.140581)
(0.718302,-0.738736)
(0.0698207,-0.135754)
(0.952905,-0.190402)
(0.234354,-0.709117)
(0.456878,0.149103)
(0.828112,-0.652337)
(0.0306463,-0.26656)
(0.891255,-0.0542043)
(0.362725,-0.764545)
(0.315425,0.119487)
(0.910225,-0.526841)
(0.0433236,-0.401462)
(0.792695,0.0514948)
(0.498089,-0.772952)
(0.19913,0.0559991)
(0.957733,-0.388096)
(0.093496,-0.523795)
(0.6783,0.130461)
(0.644252,-0.749336)
(0.107648,-0.0512445)
(0.960812,-0.246613)
(0.176363,-0.634498)
(0.533961,0.166921)
(0.768052,-0.675329)
(0.0525495,-0.173184)
(0.922596,-0.103736)
(0.296331,-0.707986)
(0.395255,0.156184)
(0.866127,-0.571841)
(0.0393595,-0.307007)
(0.845029,0.0163644)
(0.429591,-0.743609)
(0.265827,0.106129)
(0.928352,-0.442918)
(0.0676403,-0.435673)
(0.736982,0.108376)
(0.566816,-0.734218)
(0.16408,0.0252388)
(0.957319,-0.305104)
(0.133642,-0.554014)
(0.608583,0.162961)
(0.695868,-0.689236)
(0.0858342,-0.0842556)
(0.940132,-0.159777)
(0.234206,-0.640673)
(0.475483,0.180003)
(0.810214,-0.60756)
(0.0474104,-0.210256)
(0.889221,-0.0242688)
